Start Date,End Date,Mean PNL,Mean CAGR,Mean Max Drawdown,Mean CALMAR Ratio
2023-01-03 00:00:00,2023-12-15 00:00:00,$3144.87,16.88%,60.78%,0.28
2023-02-15 00:00:00,2024-01-31 00:00:00,$3118.78,17.18%,87.91%,0.20
2023-03-30 00:00:00,2024-03-14 00:00:00,$3254.71,17.48%,63.13%,0.29
2023-05-12 00:00:00,2024-04-26 00:00:00,$3693.61,19.84%,70.24%,0.29
2023-06-27 00:00:00,2024-06-10 00:00:00,$1757.33,9.42%,70.98%,0.14
2023-08-09 00:00:00,2024-07-24 00:00:00,$2475.99,13.27%,69.48%,0.19
2023-09-21 00:00:00,2024-09-05 00:00:00,$2217.05,11.89%,68.05%,0.18
2023-11-02 00:00:00,2024-10-17 00:00:00,$3841.66,20.64%,54.43%,0.39
